Bulan,Jumlah_buku_dipinjam
1/17,47
2/17,77
3/17,85
4/17,53
5/17,31
6/17,29
7/17,37
8/17,29
9/17,129
10/17,101
11/17,107
12/17,60
1/18,49
2/18,80
3/18,90
4/18,90
5/18,32
6/18,27
7/18,42
8/18,39
9/18,132
10/18,104
11/18,112
12/18,63
1/19,163
2/19,105
3/19,247
4/19,134
5/19,134
6/19,72
7/19,57
8/19,118
9/19,257
10/19,280
11/19,168
12/19,141
1/20,173
2/20,376
3/20,182
4/20,0
5/20,0
6/20,0
7/20,0
8/20,2
9/20,5
10/20,0
11/20,9
12/20,0
1/21,0
2/21,0
3/21,24
4/21,39
5/21,10
6/21,15
7/21,0
8/21,1
9/21,54
10/21,64
11/21,35
12/21,26
1/22,13
2/22,23
3/22,27
4/22,12
5/22,49
6/22,35
7/22,9
8/22,27
9/22,41
10/22,38
11/22,38
12/22,26
1/23,22
2/23,34
3/23,14
4/23,16
5/23,45
6/23,15
7/23,6
8/23,10
9/23,19
10/23,19
11/23,42
12/23,21
1/24,13
2/24,6
3/24,25
4/24,10
5/24,17
6/24,2
7/24,3
8/24,23
9/24,16
10/24,21
11/24,26
12/24,13
