Bulan,Jumlah_buku _dipinjam
1/17,147
2/17,183
3/17,242
4/17,242
5/17,131
6/17,60
7/17,72
8/17,131
9/17,208
10/17,304
11/17,251
12/17,151
1/18,154
2/18,190
3/18,250
4/18,246
5/18,134
6/18,65
7/18,75
8/18,142
9/18,215
10/18,315
11/18,270
12/18,165
1/19,248
2/19,161
3/19,213
4/19,153
5/19,191
6/19,74
7/19,138
8/19,79
9/19,246
10/19,221
11/19,194
12/19,142
1/20,278
2/20,374
3/20,131
4/20,3
5/20,0
6/20,0
7/20,2
8/20,44
9/20,50
10/20,23
11/20,54
12/20,0
1/21,0
2/21,8
3/21,54
4/21,33
5/21,61
6/21,30
7/21,4
8/21,18
9/21,94
10/21,59
11/21,58
12/21,50
1/22,55
2/22,28
3/22,75
4/22,61
5/22,47
6/22,49
7/22,30
8/22,38
9/22,143
10/22,60
11/22,54
12/22,73
1/23,23
2/23,28
3/23,25
4/23,11
5/23,35
6/23,18
7/23,18
8/23,52
9/23,32
10/23,19
11/23,29
12/23,17
1/24,8
2/24,5
3/24,11
4/24,10
5/24,4
6/24,9
7/24,18
8/24,56
9/24,25
10/24,7
11/24,12
12/24,20
